subject,sender,body
"Secret Merger Plans Leak","executive@company.com","I'm forwarding our confidential merger documents to you. Please share with your contacts for feedback."
"Insider Trading Coordination","trader1@company.com","Let's buy these stocks before the announcement. I have insider information about the upcoming earnings."
"Bribe Payment Confirmation","manager@company.com","The $50,000 bribe has been transferred to the account. Contract secured."
"Discriminatory Hiring Policy","hr@company.com","We only hire candidates from certain ethnic backgrounds. Keep this internal."
"Data Privacy Violation","employee@company.com","I've exported all customer personal data to my personal drive for analysis."
"Market Rigging Scheme","trader2@company.com","We'll manipulate the bid prices to ensure our preferred supplier wins."
"Harassment Incident","supervisor@company.com","The team building exercise will involve inappropriate physical contact. Don't tell compliance."
"Regulatory Evasion","legal@company.com","Let's structure this deal to avoid SEC reporting requirements."
"Vendor Kickback Agreement","procurement@company.com","We'll receive 10% kickback on all purchases from this vendor."
"Unethical Performance Review","boss@company.com","Rate all female employees lower to maintain gender balance in promotions."
